 sec,ms,loss,acc,val_loss,val_acc
 730,935,5.9880,0.2205,5.7226,0.1351
 754,965,5.9851,0.2187,5.7125,0.1416
 813,1,5.9825,0.2196,5.7188,0.1568
 822,1,5.9813,0.2198,5.7196,0.1619
 814,1,5.9786,0.2182,5.7207,0.1640
 814,1,5.9789,0.2185,5.7163,0.2041
 814,1,5.9816,0.2215,5.7152,0.1677
 815,1,5.9757,0.2183,5.7097,0.1757
 812,1,5.9767,0.2192,5.7135,0.1400
 817,1,5.9753,0.2176,5.7221,0.1779
 812,1,5.9721,0.2183,5.7078,0.1800
 813,1,5.9719,0.2195,5.7160,0.2025
 818,1,5.9693,0.2209,5.7098,0.1822
 819,1,5.9648,0.2194,5.7088,0.1480
 811,1,5.9687,0.2199,5.7040,0.1699
 809,1,5.9651,0.2163,5.7100,0.1373
 817,1,5.9630,0.2171,5.7052,0.2073
 818,1,5.9636,0.2189,5.7090,0.1496
 814,1,5.9603,0.2190,5.7119,0.1823
 819,1,5.9622,0.2173,5.7050,0.1608
 821,1,5.9559,0.2187,5.7077,0.1976
 815,1,5.9583,0.2193,5.7014,0.2014
 816,1,5.9573,0.2176,5.6987,0.1790
 812,1,5.9572,0.2192,5.7001,0.1651
 810,1,5.9571,0.2174,5.7038,0.1688
 812,1,5.9506,0.2180,5.7005,0.1709
 821,1,5.9562,0.2177,5.7065,0.1442
 817,1,5.9458,0.2166,5.7055,0.1934
 814,1,5.9532,0.2194,5.7044,0.1934
 816,1,5.9542,0.2197,5.6965,0.1490
 816,1,5.9526,0.2174,5.7037,0.1533
 816,1,5.9496,0.2179,5.6997,0.1960
 815,1,5.9446,0.2162,5.6990,0.1859
 814,1,5.9488,0.2186,5.6971,0.1790
 816,1,5.9425,0.2196,5.7068,0.1391
 815,1,5.9468,0.2160,5.7036,0.1752
 814,1,5.9406,0.2164,5.7004,0.1843
 817,1,5.9402,0.2183,5.7025,0.1677
 815,1,5.9447,0.2163,5.6994,0.1854
 812,1,5.9393,0.2172,5.6995,0.2025
 815,1,5.9456,0.2189,5.7014,0.1763
 814,1,5.9374,0.2165,5.6987,0.1587
 813,1,5.9397,0.2193,5.6982,0.1827
 809,1,5.9374,0.2173,5.6995,0.1966
 806,1,5.9390,0.2166,5.6941,0.1864
 805,1,5.9336,0.2169,5.6931,0.1757
 806,1,5.9359,0.2206,5.6973,0.1795
 807,1,5.9361,0.2194,5.6984,0.1661
 804,1,5.9367,0.2178,5.6898,0.1960
 801,1,5.9350,0.2173,5.6938,0.1597
 799,1,5.9364,0.2187,5.6979,0.1745
 799,1,5.9375,0.2197,5.6976,0.1976
 800,1,5.9337,0.2157,5.6932,0.1774
 795,1,5.9322,0.2151,5.6965,0.1971
 797,1,5.9311,0.2176,5.6902,0.1859
 798,1,5.9310,0.2163,5.6933,0.1736
 800,1,5.9292,0.2183,5.6939,0.1859
 800,1,5.9329,0.2186,5.6974,0.1757
 798,1,5.9335,0.2176,5.6905,0.1715
 797,1,5.9258,0.2177,5.6947,0.1683
 797,1,5.9293,0.2167,5.6918,0.2158
 798,1,5.9266,0.2191,5.6856,0.1880
 803,1,5.9263,0.2189,5.6909,0.1768
 809,1,5.9300,0.2172,5.6918,0.1768
 809,1,5.9297,0.2173,5.6898,0.1918
 809,1,5.9280,0.2178,5.6863,0.1651
 810,1,5.9269,0.2175,5.6873,0.1583
 813,1,5.9249,0.2180,5.6934,0.1490
 811,1,5.9242,0.2180,5.6871,0.1774
 806,1,5.9237,0.2211,5.6947,0.1966
 809,1,5.9250,0.2185,5.6831,0.2078
 815,1,5.9206,0.2175,5.6829,0.1886
 814,1,5.9220,0.2180,5.6890,0.1875
 813,1,5.9227,0.2182,5.6922,0.1966
